participant,trial,condition,truePercent,reportedPercent,log2Error
leala,1,stacked,91,70,0.3785116232537299
leala,2,pie,76,80,0.07400058144377678
leala,3,stacked,6,7,0.22239242133644802
leala,4,stacked,33,33,0
leala,5,pie,30,50,0.7369655941662062
leala,6,pie,76,70,0.11864449649861893
leala,7,bar,22,20,0.13750352374993502
leala,8,stacked,47,30,0.6476982560691188
leala,9,stacked,21,20,0.070389327891398
leala,10,stacked,57,60,0.07400058144377678
leala,11,stacked,77,70,0.13750352374993502
leala,12,pie,46,50,0.12029423371771175
leala,13,bar,85,80,0.0874628412503394
leala,14,pie,12,7,0.777607578663552
leala,15,pie,61,50,0.28688114778816154
leala,16,pie,8,10,0.32192809488736235
leala,17,bar,70,60,0.22239242133644802
leala,18,bar,32,40,0.32192809488736235
leala,19,bar,13,25,0.9434164716336326
leala,20,bar,61,65,0.09163047546556834
leala,21,bar,54,60,0.15200309344505006
leala,22,stacked,14,15,0.09953567355091437
leala,23,bar,66,60,0.13750352374993502
leala,24,stacked,39,33,0.24100809950379498
leala,25,bar,74,75,0.019365324866931214
leala,26,bar,39,40,0.036525876025113875
leala,27,stacked,13,10,0.3785116232537299
leala,28,bar,41,50,0.28630418515664097
leala,29,bar,22,30,0.44745897697122117
leala,30,stacked,90,95,0.07800251200127316
leala,31,bar,14,15,0.09953567355091437
leala,32,pie,32,20,0.6780719051126377
leala,33,stacked,31,25,0.3103401206121505
leala,34,pie,8,8,0
leala,35,stacked,17,10,0.765534746362977
leala,36,stacked,75,60,0.32192809488736235
leala,37,bar,18,25,0.47393118833241227
leala,38,pie,74,65,0.18708555260049523
leala,39,bar,34,35,0.0418201756946269
leala,40,stacked,61,50,0.28688114778816154
leala,41,pie,64,50,0.35614381022527536
leala,42,bar,19,28,0.5594274086140185
leala,43,stacked,65,60,0.11547721741993588
leala,44,pie,30,35,0.22239242133644802
leala,45,pie,19,25,0.3959286763311393
leala,46,pie,29,20,0.5360529002402097
leala,47,bar,67,65,0.043721377429317775
leala,48,stacked,43,35,0.29698173775713155
leala,49,pie,48,40,0.2630344058337938
leala,50,pie,41,30,0.4506614090095652
leala,51,bar,19,25,0.3959286763311393
leala,52,pie,35,50,0.5145731728297582
leala,53,bar,79,75,0.07496205768122191
leala,54,stacked,12,8,0.5849625007211562
leala,55,pie,78,90,0.20645087746742624
leala,56,bar,28,30,0.09953567355091437
leala,57,pie,10,8,0.32192809488736235
leala,58,pie,20,20,0
leala,59,stacked,88,86,0.033166863935199374
leala,60,stacked,20,25,0.32192809488736235
Krish,1,bar,37,40,0.11247472925841265
Krish,2,stacked,19,20,0.07400058144377678
Krish,3,bar,14,17,0.2801079191927352
Krish,4,pie,30,20,0.5849625007211562
Krish,5,stacked,30,25,0.2630344058337938
Krish,6,pie,37,25,0.5655971758542251
